ticker;nome;indice
ABEV3;Ambev S/A ON;IBOV
ALOS3;Allos ON NM;IBOV
ALPA4;Alpargatas PN N1;IBOV
ASAI3;Assai ON NM;IBOV
AXIA3;Axia Energia ON ED N1;IBOV
AZUL4;Azul PN N2;IBOV
B3SA3;B3 ON NM;IBOV
BBAS3;Brasil ON NM;IBOV
BBDC3;Bradesco ON N1;IBOV
BBDC4;Bradesco PN N1;IBOV
BBSE3;Bbseguridade ON NM;IBOV
BEEF3;Minerva ON NM;IBOV
BPAC11;Btgp Banco UNT ATZ N2;IBOV
BRAP4;Bradespar PN EJ N1;IBOV
BRFS3;Brf Sa ON EDJ NM;IBOV
BRKM5;Braskem PNA N1;IBOV
CMIG4;Cemig PN N1;IBOV
CMIN3;Csnmineracao ON EDJ N2;IBOV
COGN3;Cogna On ON NM;IBOV
CPFE3;Cpfl Energia ON NM;IBOV
CSAN3;Cosan ON NM;IBOV
CSNA3;Sid Nacional ON;IBOV
CVCB3;Cvc Brasil ON NM;IBOV
CYRE3;Cyrela Realt ON NM;IBOV
DXCO3;Dexco ON NM;IBOV
EGIE3;Engie Brasil ON NM;IBOV
EMBJ3;Embraer ON NM;IBOV
ENEV3;Eneva ON NM;IBOV
ENGI11;Energisa UNT N2;IBOV
EQTL3;Equatorial ON EJ NM;IBOV
EZTC3;Eztec ON NM;IBOV
FLRY3;Fleury ON NM;IBOV
GGBR4;Gerdau PN ED N1;IBOV
GOAU4;Gerdau Met PN ED N1;IBOV
HAPV3;Hapvida ON ATZ NM;IBOV
HYPE3;Hypera ON NM;IBOV
IGTI11;Iguatemi S.A UNT N1;IBOV
IRBR3;Irbbrasil Re ON NM;IBOV
ITSA4;Itausa PN N1;IBOV
ITUB4;Itauunibanco PN N1;IBOV
KLBN11;Klabin S/A UNT ED N2;IBOV
LREN3;Lojas Renner ON NM;IBOV
LWSA3;Lwsa ON NM;IBOV
MGLU3;Magaz Luiza ON NM;IBOV
MBRF3;Marfrig ON ED NM;IBOV
MRVE3;Mrv ON NM;IBOV
MULT3;Multiplan ON N2;IBOV
PCAR3;P.Acucar-Cbd ON NM;IBOV
PETR4;Petrobras PN ATZ N2;IBOV
PETZ3;Petz ON NM;IBOV
PRIO3;Petrorio ON ATZ NM;IBOV
RADL3;Raiadrogasil ON NM;IBOV
RAIL3;Rumo S.A. ON NM;IBOV
RAIZ4;Raizen PN N2;IBOV
RDOR3;Rede D Or ON NM;IBOV
RECV3;Petrorecsa ON NM;IBOV
RENT3;Localiza ON NM;IBOV
SANB11;Santander Br UNT;IBOV
SBSP3;Sabesp ON NM;IBOV
SLCE3;Slc Agricola ON NM;IBOV
SMTO3;Sao Martinho ON NM;IBOV
SUZB3;Suzano S.A. ON NM;IBOV
TAEE11;Taesa UNT EDJ N2;IBOV
TIMS3;Tim ON NM;IBOV
TOTS3;Totvs ON NM;IBOV
UGPA3;Ultrapar ON NM;IBOV
USIM5;Usiminas PNA N1;IBOV
VALE3;Vale ON NM;IBOV
VAMO3;Vamos ON NM;IBOV
VBBR3;Vibra ON NM;IBOV
VIVA3;Vivara S.A. ON NM;IBOV
VIVT3;Telef Brasil ON;IBOV
WEGE3;Weg ON NM;IBOV
YDUQ3;Yduqs Part ON NM;IBOV

SEER3;Ser Educa ON NM;SMALL CAPS
MLAS3;Multilaser ON NM;SMALL CAPS
ORVR3;Orizon ON NM;SMALL CAPS
CBAV3;Cba ON NM;SMALL CAPS
AURE3;Auren ON NM;SMALL CAPS
GGPS3;Gps ON NM;SMALL CAPS
CYRE3;Cyrela Realt ON NM;SMALL CAPS
SBFG3;Grupo Sbf ON NM;SMALL CAPS
MRVE3;Mrv ON NM;SMALL CAPS
VIVA3;Vivara S.A. ON NM;SMALL CAPS
